page_number,kanji,meaning,on_yomi,kun_yomi,on_yomi_words,kun_yomi_words,explanation,jlpt_level
8,日,날 일,"ニチ, ジツ","か, ひ","[{'kanji': '一日', 'reading': 'いちにち'}, {'kanji': '毎日', 'reading': 'まいにち'}, {'kanji': '休', 'reading': 'きゅう'}, {'kanji': '日', 'reading': 'じつ'}, {'kanji': '平日', 'reading': 'へいじつ'}]","[{'kanji': '月', 'reading': 'つき'}, {'kanji': '日', 'reading': 'ひ'}, {'kanji': '朝', 'reading': 'あさ'}, {'kanji': '日', 'reading': 'ひ'}, {'kanji': '夕', 'reading': 'ゆう'}, {'kanji': '日', 'reading': 'ひ'}, {'kanji': '三', 'reading': 'みっ'}, {'kanji': '日', 'reading': 'か'}, {'kanji': '七', 'reading': 'なの'}, {'kanji': '日', 'reading': 'か'}, {'kanji': '二', 'reading': 'ふつ'}, {'kanji': '日', 'reading': 'か'}]","日는 ""태양""의 모습을 본따 그린 상형문자입니다. ""해가 뜨고 지다"" -> ""하루, 태양""이라는 의미입니다.",N5
9,一,한 일,"イチ, イツ","ひと, つ","[{'kanji': '一月', 'reading': 'いちがつ'}, {'kanji': '一日', 'reading': 'いちにち'}, {'kanji': '一年', 'reading': 'いちねん'}, {'kanji': '一応', 'reading': 'いちおう'}, {'kanji': '一', 'reading': 'いち'}, {'kanji': '部', 'reading': 'ぶ'}, {'kanji': '万一', 'reading': 'まんいち'}, {'kanji': '唯一', 'reading': 'ゆいいつ'}, {'kanji': '同一', 'reading': 'どういつ'}, {'kanji': '単一', 'reading': 'たんいつ'}, {'kanji': '均一', 'reading': 'きんいつ'}]","[{'kanji': '一', 'reading': 'ひと'}, {'kanji': '人', 'reading': 'り'}, {'kanji': '一', 'reading': 'ひと'}]","一는 ""선 하나""로 1을 표현한 상형문자입니다.",N5
10,国,나라 국,コク,くに,"[{'kanji': '国王', 'reading': 'こくおう'}, {'kanji': '国', 'reading': 'こく'}, {'kanji': '土', 'reading': 'ど'}]","[{'kanji': '国', 'reading': 'くに'}, {'kanji': '島国', 'reading': 'しまぐに'}]","国 = 囗 + 玉。 囗는 여기서는 ""국경, 경계선""을 표현한 모양자입니다. 「玉」는 ""구슬, 보석""을 뜻하는 부수입니다(링크 참조). 国는 ""국경(囗)으로 귀중한 것(玉)을 둘러싸고 지키다"" -> ""나라""라는 뜻의 글자입니다.",N5
11,会,모일 회,"エ, カイ","う, あ","[{'kanji': '会社', 'reading': 'かいしゃ'}, {'kanji': '大会', 'reading': 'たいかい'}, {'kanji': '会', 'reading': 'え'}, {'kanji': '得', 'reading': 'とく'}, {'kanji': '法', 'reading': 'ほう'}, {'kanji': '会', 'reading': 'え'}]",[],"会 = 人 + 云。 人는 여기서는 ""하늘""을 그린 모양자입니다. 「云」는 ""구름""을 뜻하는 글자입니다(링크 참조). 会는 ""하늘(人)의 구름(云)이 만나다"" -> ""모이다, 만나다""라는 뜻의 글자입니다.",N5
12,人,사람 인,"ニン, ジン",ひと,"[{'kanji': '日', 'reading': 'に'}, {'kanji': '本人', 'reading': 'ほんじん'}, {'kanji': '主人', 'reading': 'しゅじん'}, {'kanji': '人生', 'reading': 'じんせい'}, {'kanji': '本人', 'reading': 'ほんにん'}, {'kanji': '他', 'reading': 'た'}, {'kanji': '人', 'reading': 'にん'}, {'kanji': '人', 'reading': 'にん'}, {'kanji': '形', 'reading': 'ぎょう'}]","[{'kanji': '人', 'reading': 'ひと'}, {'kanji': '人', 'reading': 'ひと'}, {'kanji': '手', 'reading': 'で'}, {'kanji': '大人', 'reading': 'おとな'}, {'kanji': '一', 'reading': 'ひと'}, {'kanji': '人', 'reading': 'り'}, {'kanji': '二', 'reading': 'ふた'}, {'kanji': '人', 'reading': 'り'}]","人는 ""걷고 있는 사람의 옆모습""을 그린 상형문자입니다.",N5
13,年,해 년,ネン,とし,"[{'kanji': '三年', 'reading': 'さんねん'}, {'kanji': '少', 'reading': 'しょう'}, {'kanji': '年', 'reading': 'ねん'}]","[{'kanji': '毎年', 'reading': 'まいとし'}, {'kanji': '年上', 'reading': 'としうえ'}, {'kanji': '年下', 'reading': 'としした'}]","年 = 𠂉 + 㐄。 𠂉는 여기서는「人」가 변형된 것으로, ""사람""을 뜻합니다. 「㐄」는 ""발""을 뜻하는 글자입니다(링크 참조). 年는 ""사람(𠂉)이 걸음마(㐄)를 떼려면 일 년이 걸린다"" -> ""한 해""라는 뜻의 글자입니다.",N5
14,大,클 대,"ダイ, タイ","おお, いに, きい","[{'kanji': '大学', 'reading': 'だいがく'}, {'kanji': '大', 'reading': 'だい'}, {'kanji': '地', 'reading': 'ち'}, {'kanji': '大会', 'reading': 'たいかい'}]","[{'kanji': '大雨', 'reading': 'おおあめ'}, {'kanji': '大', 'reading': 'おお'}, {'kanji': '昔', 'reading': 'むかし'}, {'kanji': '大', 'reading': 'おお'}, {'kanji': '音', 'reading': 'おと'}, {'kanji': '大', 'reading': 'おお'}, {'kanji': '喜', 'reading': 'よろこ'}]","大는 ""양 팔을 벌리고 선 사람""을 그린 상형문자입니다. ""서있는 사람"" -> ""키가 크다"" -> ""크다""라는 의미입니다. 참고) 大가 다른 한자의 일부로 쓰일 때는 단순히 ""사람""이라는 뜻으로 쓰이는 경우가 많습니다.",N5
15,十,열 십,"ジッ, ジュウ","とお, と","[{'kanji': '十', 'reading': 'じゅう'}, {'kanji': '月', 'reading': 'がつ'}, {'kanji': '十', 'reading': 'じゅう'}, {'kanji': '人', 'reading': 'にん'}, {'kanji': '二', 'reading': 'に'}, {'kanji': '十', 'reading': 'じゅう'}, {'kanji': '十', 'reading': 'じっ'}, {'kanji': '中', 'reading': 'ちゅう'}, {'kanji': '八', 'reading': 'はっ'}, {'kanji': '九', 'reading': 'く'}, {'kanji': '十', 'reading': 'じっ'}, {'kanji': '個', 'reading': 'こ'}, {'kanji': '十分', 'reading': 'じっぷん'}]","[{'kanji': '十', 'reading': 'とお'}, {'kanji': '日', 'reading': 'か'}, {'kanji': '十', 'reading': 'じゅう'}, {'kanji': '人', 'reading': 'にん'}, {'kanji': '十', 'reading': 'と'}, {'kanji': '色', 'reading': 'いろ'}]","옛날 중국에서는 막대를 세로로 세워서(│) ""10""을 표현했다고 합니다. 거기에 가로선을 더해서 구분하기 쉽게 만든 것이 바로 十입니다.",N5
16,二,두 이,ニ,"ふた, つ","[{'kanji': '二', 'reading': 'に'}, {'kanji': '月', 'reading': 'がつ'}, {'kanji': '二', 'reading': 'に'}, {'kanji': '十', 'reading': 'じゅう'}]","[{'kanji': '二', 'reading': 'ふた'}, {'kanji': '人', 'reading': 'り'}, {'kanji': '二', 'reading': 'ふた'}, {'kanji': '二十歳', 'reading': 'はたち'}, {'kanji': '二十日', 'reading': 'はつか'}]","二는 선 두 개로 ""2""를 표현한 글자입니다.",N5
17,本,근본 본,ホン,もと,"[{'kanji': '本', 'reading': 'ほん'}, {'kanji': '本', 'reading': 'ほん'}, {'kanji': '名', 'reading': 'みょう'}, {'kanji': '本人', 'reading': 'ほんにん'}, {'kanji': '鉛筆一本', 'reading': 'えんぴついっぽん'}]","[{'kanji': '根', 'reading': 'ね'}, {'kanji': '本', 'reading': 'もと'}]","本 = 木 + 一。 木(""나무 목"")은 ""나무""를 뜻하는 상용한자입니다. 一는 여기서는 ""나무 밑동""을 그린 모양자입니다. 本는 ""나무(木)의 밑동(一)"" -> ""뿌리"" -> ""근본, 본질, 본래""라는 뜻의 글자입니다.",N5
18,中,가운데 중,"チュウ, ジュウ",なか,"[{'kanji': '掃', 'reading': 'そう'}, {'kanji': '除', 'reading': 'じ'}, {'kanji': '中', 'reading': 'ちゅう'}, {'kanji': '準', 'reading': 'じゅん'}, {'kanji': '備', 'reading': 'び'}, {'kanji': '中', 'reading': 'ちゅう'}, {'kanji': '世', 'reading': 'せ'}, {'kanji': '界', 'reading': 'かい'}, {'kanji': '中', 'reading': 'じゅう'}, {'kanji': '会社', 'reading': 'かいしゃ'}, {'kanji': '中', 'reading': 'じゅう'}, {'kanji': '一日', 'reading': 'いちにち'}, {'kanji': '中', 'reading': 'じゅう'}]","[{'kanji': '背', 'reading': 'せ'}, {'kanji': '中', 'reading': 'なか'}, {'kanji': '中', 'reading': 'なか'}, {'kanji': '身', 'reading': 'み'}]","中 = 口 +⼁。 中는 ""물건(口)의 중심을 꿰뚫다(⼁)"" -> ""중심, 중간""이라는 뜻의 글자입니다.",N5
20,長,길 장,チョウ,"なが, い","[{'kanji': '長', 'reading': 'ちょう'}, {'kanji': '男', 'reading': 'なん'}, {'kanji': '社', 'reading': 'しゃ'}, {'kanji': '長', 'reading': 'ちょう'}, {'kanji': '成', 'reading': 'せい'}, {'kanji': '長', 'reading': 'ちょう'}]",[],"長는 ""머리가 긴 노인이 지팡이를 짚고 걸어가는 모습""을 그린 상형문자입니다. ""머리가 긴 노인"" -> ""머리가 길다"" -> ""길다""라는 의미입니다.",N5
21,出,날 출,"シュツ, スイ","で, す, る, だ","[{'kanji': '出入', 'reading': 'しゅつにゅう'}, {'kanji': '出', 'reading': 'しゅつ'}, {'kanji': '現', 'reading': 'げん'}, {'kanji': '出', 'reading': 'しゅっ'}, {'kanji': '席', 'reading': 'せき'}, {'kanji': '出納', 'reading': 'すいとう'}]",[],"出 = 屮 + 凵。 屮는 여기서는 ""새의 발""을 그린 모양자입니다. 凵는 여기서는 ""동굴""을 그린 모양자입니다. 出는 ""동굴(凵)밖으로 걸어나가는 발(屮)"" -> ""나가다""라는 뜻의 글자입니다.",N5
22,三,셋 삼,サン,"みっ, み, つ","[{'kanji': '三', 'reading': 'さん'}, {'kanji': '十', 'reading': 'じゅう'}, {'kanji': '三人', 'reading': 'さんにん'}]","[{'kanji': '三日', 'reading': 'みか'}, {'kanji': '月', 'reading': 'づき'}, {'kanji': '三', 'reading': 'みっ'}, {'kanji': '日', 'reading': 'か'}, {'kanji': '三', 'reading': 'みっ'}, {'kanji': '三', 'reading': 'み'}, {'kanji': '指', 'reading': 'ゆび'}, {'kanji': '三', 'reading': 'しゃ'}, {'kanji': '味', 'reading': 'み'}, {'kanji': '線', 'reading': 'せん'}]","三는 선 세 개로 ""3""을 나타낸 글자입니다.",N5
23,時,때 시,ジ,とき,"[{'kanji': '時', 'reading': 'じ'}, {'kanji': '間', 'reading': 'かん'}, {'kanji': '時', 'reading': 'じ'}, {'kanji': '代', 'reading': 'だい'}]","[{'kanji': '時', 'reading': 'とき'}, {'kanji': '時々', 'reading': 'ときどき'}, {'kanji': '時', 'reading': 'と'}, {'kanji': '計', 'reading': 'けい'}]","時 = 日 + 寺。 (의미부)「日」는 ""하루, 태양""을 뜻합니다. (소리부)寺(ジ - ""절 사"")는 ""절, 사찰""을 뜻하는 상용한자입니다. 다만 여기서는 소리부(ジ)의 역할만 하고 있습니다. 時는 ""하루(日)"" -> ""시간""이라는 뜻의 글자입니다(寺는 소리부).",N5
24,行,다닐 행,"アン, ギョウ, コウ","く, ゆ, い, う, おこな","[{'kanji': '行進', 'reading': 'こうしん'}, {'kanji': '旅行', 'reading': 'りょこう'}, {'kanji': '行動', 'reading': 'こうどう'}, {'kanji': '実行', 'reading': 'じっこう'}, {'kanji': '行', 'reading': 'ぎょう'}, {'kanji': '列', 'reading': 'れつ'}, {'kanji': '行', 'reading': 'ぎょう'}, {'kanji': '政', 'reading': 'せい'}, {'kanji': '行', 'reading': 'ぎょう'}, {'kanji': '事', 'reading': 'じ'}, {'kanji': '修', 'reading': 'しゅ'}, {'kanji': '行', 'reading': 'ぎょう'}, {'kanji': '行灯', 'reading': 'あんどう'}]",[],"行는 ""두 길이 교차하는 사거리""를 그린 상형문자입니다. ""사거리"" -> ""길을 가다, 이동하다"" -> ""가다, 행하다""라는 의미입니다.",N5
25,社,모일 사,シャ,やしろ,"[{'kanji': '会社', 'reading': 'かいしゃ'}, {'kanji': '社会', 'reading': 'しゃかい'}, {'kanji': '神社', 'reading': 'じんじゃ'}]","[{'kanji': '社', 'reading': 'やしろ'}]","社 = 礻 + 土。 「礻」는 ""종교, 신, 고대의 비석""을 뜻하는 부수입니다(링크 참조). 土(""흙 토"")는 ""흙, 땅""을 뜻하는 상용한자입니다. 社는 ""토지(土)의 신(礻)에게 제사지내기 위해 모이다"" -> ""모이다, 단체, 사회, 신사""라는 뜻의 글자입니다.",N5
26,見,볼 견,ケン,"える, る, せる, み","[{'kanji': '意', 'reading': 'い'}, {'kanji': '見', 'reading': 'けん'}, {'kanji': '見物', 'reading': 'けんぶつ'}]",[],"見 = 目 + 儿。 目(""눈 목"")은 ""눈""을 뜻하는 상용한자입니다. 儿는「人」가 살짝 변형된 것으로, ""사람""을 뜻합니다. 見는 ""사람(儿)의 눈(目)"" -> ""보다""라는 뜻의 글자입니다.",N5
27,月,달 월,"ゲツ, ガツ",つき,"[{'kanji': '月曜', 'reading': 'げつよう'}, {'kanji': '日', 'reading': 'び'}, {'kanji': '今月', 'reading': 'こんげつ'}, {'kanji': '先月', 'reading': 'せんげつ'}, {'kanji': '来月', 'reading': 'らいげつ'}, {'kanji': '一月', 'reading': 'いちがつ'}, {'kanji': '三月', 'reading': 'さんがつ'}, {'kanji': '九', 'reading': 'く'}, {'kanji': '月', 'reading': 'がつ'}, {'kanji': '正', 'reading': 'しょう'}, {'kanji': '月', 'reading': 'がつ'}]","[{'kanji': '月', 'reading': 'つき'}, {'kanji': '月', 'reading': 'つき'}, {'kanji': '日', 'reading': 'ひ'}, {'kanji': '三日', 'reading': 'みか'}, {'kanji': '月', 'reading': 'づき'}]","月는 ""초승달""을 본따 그린 상형문자입니다.",N5
